QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:17:49, startOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=325, tiempo=2025-05-07 05:18:06, endOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:18:06, startOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=426, tiempo=2025-05-07 05:18:32, endOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:18:32, startOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=438, tiempo=2025-05-07 05:19:05, endOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:19:05, startOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=479, tiempo=2025-05-07 05:19:31, endOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:19:31, startOfLog=4
QuickSort: Xi=4, M=50, B=4096, IOs=470, tiempo=2025-05-07 05:19:40, endOfLog=4
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:19:40, startOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=1153, tiempo=2025-05-07 05:20:25, endOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:20:25, startOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=1154, tiempo=2025-05-07 05:21:27, endOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:21:28, startOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=1186, tiempo=2025-05-07 05:22:20, endOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:22:21, startOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=1053, tiempo=2025-05-07 05:23:13, endOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:23:13, startOfLog=9
QuickSort: Xi=8, M=50, B=4096, IOs=1050, tiempo=2025-05-07 05:24:01, endOfLog=9
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:24:02, startOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=1745, tiempo=2025-05-07 05:25:39, endOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:25:40, startOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=1737, tiempo=2025-05-07 05:26:57, endOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 05:26:59, startOfLog=12
