QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:41:52, startOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=476, tiempo=2025-05-08 01:42:09, endOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:42:09, startOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=400, tiempo=2025-05-08 01:42:36, endOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:42:36, startOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=464, tiempo=2025-05-08 01:42:47, endOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:42:47, startOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=425, tiempo=2025-05-08 01:42:58, endOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:42:58, startOfLog=4
QuickSort: Xi=4, M=50, B=4096, IOs=474, tiempo=2025-05-08 01:43:09, endOfLog=4
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:43:09, startOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=1113, tiempo=2025-05-08 01:43:44, endOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:43:45, startOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=1116, tiempo=2025-05-08 01:44:18, endOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:44:18, startOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=998, tiempo=2025-05-08 01:44:50, endOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:44:52, startOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=1089, tiempo=2025-05-08 01:45:24, endOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:45:24, startOfLog=9
QuickSort: Xi=8, M=50, B=4096, IOs=1158, tiempo=2025-05-08 01:46:00, endOfLog=9
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:46:06, startOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=1741, tiempo=2025-05-08 01:47:01, endOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:47:02, startOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=1683, tiempo=2025-05-08 01:47:50, endOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:47:51, startOfLog=12
QuickSort: Xi=12, M=50, B=4096, IOs=1932, tiempo=2025-05-08 01:48:59, endOfLog=12
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:49:00, startOfLog=13
QuickSort: Xi=12, M=50, B=4096, IOs=1724, tiempo=2025-05-08 01:49:59, endOfLog=13
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:50:00, startOfLog=14
