QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:45:48, startOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=410, tiempo=2025-05-07 22:45:57, endOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:45:57, startOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=410, tiempo=2025-05-07 22:46:06, endOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:46:10, startOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=506, tiempo=2025-05-07 22:46:19, endOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:46:19, startOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=329, tiempo=2025-05-07 22:46:27, endOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:46:27, startOfLog=4
QuickSort: Xi=4, M=50, B=4096, IOs=331, tiempo=2025-05-07 22:46:36, endOfLog=4
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:46:37, startOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=1042, tiempo=2025-05-07 22:47:04, endOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:47:19, startOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=1042, tiempo=2025-05-07 22:47:38, endOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:47:39, startOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=1093, tiempo=2025-05-07 22:48:06, endOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:48:06, startOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=1090, tiempo=2025-05-07 22:48:32, endOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:48:32, startOfLog=9
QuickSort: Xi=8, M=50, B=4096, IOs=1085, tiempo=2025-05-07 22:49:01, endOfLog=9
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:49:02, startOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=1697, tiempo=2025-05-07 22:50:04, endOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 22:50:05, startOfLog=11
