QuickSort: Xi=24, M=50, B=4096, IOs=3908, tiempo=2025-05-07 18:53:30, endOfLog=29
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:53:33, startOfLog=30
QuickSort: Xi=28, M=50, B=4096, IOs=4961, tiempo=2025-05-07 18:56:14, endOfLog=30
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:56:17, startOfLog=31
QuickSort: Xi=28, M=50, B=4096, IOs=4571, tiempo=2025-05-07 18:59:28, endOfLog=31
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:59:31, startOfLog=32
QuickSort: Xi=28, M=50, B=4096, IOs=4458, tiempo=2025-05-07 19:02:36, endOfLog=32
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:02:53, startOfLog=33
QuickSort: Xi=28, M=50, B=4096, IOs=4799, tiempo=2025-05-07 19:06:08, endOfLog=33
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:06:11, startOfLog=34
QuickSort: Xi=28, M=50, B=4096, IOs=5007, tiempo=2025-05-07 19:09:57, endOfLog=34
QuickSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:10:00, startOfLog=35
QuickSort: Xi=32, M=50, B=4096, IOs=5696, tiempo=2025-05-07 19:14:31, endOfLog=35
QuickSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:14:34, startOfLog=36
QuickSort: Xi=32, M=50, B=4096, IOs=6332, tiempo=2025-05-07 19:20:12, endOfLog=36
QuickSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:20:16, startOfLog=37
QuickSort: Xi=32, M=50, B=4096, IOs=5854, tiempo=2025-05-07 19:25:17, endOfLog=37
QuickSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:25:51, startOfLog=38
QuickSort: Xi=32, M=50, B=4096, IOs=5586, tiempo=2025-05-07 19:30:33, endOfLog=38
QuickSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:30:38, startOfLog=39
QuickSort: Xi=32, M=50, B=4096, IOs=6029, tiempo=2025-05-07 19:36:36, endOfLog=39
QuickSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:36:40, startOfLog=40
QuickSort: Xi=36, M=50, B=4096, IOs=6392, tiempo=2025-05-07 19:43:58, endOfLog=40
QuickSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:44:03, startOfLog=41
QuickSort: Xi=36, M=50, B=4096, IOs=6967, tiempo=2025-05-07 19:51:24, endOfLog=41
QuickSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:51:28, startOfLog=42
QuickSort: Xi=36, M=50, B=4096, IOs=6175, tiempo=2025-05-07 19:58:07, endOfLog=42
QuickSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 19:58:12, startOfLog=43
QuickSort: Xi=36, M=50, B=4096, IOs=6612, tiempo=2025-05-07 20:06:18, endOfLog=43
QuickSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 20:06:29, startOfLog=44
QuickSort: Xi=36, M=50, B=4096, IOs=6799, tiempo=2025-05-07 20:14:57, endOfLog=44
QuickSort: Xi=40, M=50, B=4096, IOs=0, tiempo=2025-05-07 20:15:34, startOfLog=45
QuickSort: Xi=40, M=50, B=4096, IOs=7802, tiempo=2025-05-07 20:27:33, endOfLog=45
QuickSort: Xi=40, M=50, B=4096, IOs=0, tiempo=2025-05-07 20:27:42, startOfLog=46
QuickSort: Xi=40, M=50, B=4096, IOs=7031, tiempo=2025-05-07 20:38:06, endOfLog=46
QuickSort: Xi=40, M=50, B=4096, IOs=0, tiempo=2025-05-07 20:38:13, startOfLog=47
