QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:52:51, startOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=388, tiempo=2025-05-08 00:53:06, endOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:53:07, startOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=500, tiempo=2025-05-08 00:53:15, endOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:53:15, startOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=329, tiempo=2025-05-08 00:53:23, endOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:53:23, startOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=411, tiempo=2025-05-08 00:53:43, endOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:53:43, startOfLog=4
QuickSort: Xi=4, M=50, B=4096, IOs=460, tiempo=2025-05-08 00:53:53, endOfLog=4
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:53:54, startOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=1119, tiempo=2025-05-08 00:54:39, endOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:54:40, startOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=938, tiempo=2025-05-08 00:55:05, endOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:55:05, startOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=1111, tiempo=2025-05-08 00:55:43, endOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:55:44, startOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=1193, tiempo=2025-05-08 00:56:25, endOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:56:26, startOfLog=9
QuickSort: Xi=8, M=50, B=4096, IOs=1011, tiempo=2025-05-08 00:56:47, endOfLog=9
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:56:48, startOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=1921, tiempo=2025-05-08 00:57:41, endOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:57:42, startOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=1557, tiempo=2025-05-08 00:58:38, endOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:58:39, startOfLog=12
QuickSort: Xi=12, M=50, B=4096, IOs=1679, tiempo=2025-05-08 00:59:21, endOfLog=12
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 00:59:22, startOfLog=13
QuickSort: Xi=12, M=50, B=4096, IOs=1768, tiempo=2025-05-08 01:00:07, endOfLog=13
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:00:08, startOfLog=14
QuickSort: Xi=12, M=50, B=4096, IOs=1855, tiempo=2025-05-08 01:00:59, endOfLog=14
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:01:00, startOfLog=15
QuickSort: Xi=16, M=50, B=4096, IOs=2307, tiempo=2025-05-08 01:02:09, endOfLog=15
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:02:10, startOfLog=16
QuickSort: Xi=16, M=50, B=4096, IOs=2408, tiempo=2025-05-08 01:03:20, endOfLog=16
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:03:22, startOfLog=17
QuickSort: Xi=16, M=50, B=4096, IOs=2671, tiempo=2025-05-08 01:04:43, endOfLog=17
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:04:44, startOfLog=18
QuickSort: Xi=16, M=50, B=4096, IOs=2509, tiempo=2025-05-08 01:05:42, endOfLog=18
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:05:43, startOfLog=19
QuickSort: Xi=16, M=50, B=4096, IOs=2331, tiempo=2025-05-08 01:06:56, endOfLog=19
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:07:03, startOfLog=20
QuickSort: Xi=20, M=50, B=4096, IOs=3191, tiempo=2025-05-08 01:08:45, endOfLog=20
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:08:47, startOfLog=21
QuickSort: Xi=20, M=50, B=4096, IOs=3468, tiempo=2025-05-08 01:10:24, endOfLog=21
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:10:26, startOfLog=22
QuickSort: Xi=20, M=50, B=4096, IOs=3488, tiempo=2025-05-08 01:12:08, endOfLog=22
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:12:10, startOfLog=23
QuickSort: Xi=20, M=50, B=4096, IOs=3042, tiempo=2025-05-08 01:13:40, endOfLog=23
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:13:42, startOfLog=24
QuickSort: Xi=20, M=50, B=4096, IOs=3228, tiempo=2025-05-08 01:15:21, endOfLog=24
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:15:23, startOfLog=25
QuickSort: Xi=24, M=50, B=4096, IOs=4112, tiempo=2025-05-08 01:17:48, endOfLog=25
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:17:56, startOfLog=26
QuickSort: Xi=24, M=50, B=4096, IOs=4195, tiempo=2025-05-08 01:20:14, endOfLog=26
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:20:17, startOfLog=27
QuickSort: Xi=24, M=50, B=4096, IOs=3990, tiempo=2025-05-08 01:22:12, endOfLog=27
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:22:15, startOfLog=28
QuickSort: Xi=24, M=50, B=4096, IOs=4267, tiempo=2025-05-08 01:24:18, endOfLog=28
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:24:21, startOfLog=29
QuickSort: Xi=24, M=50, B=4096, IOs=3802, tiempo=2025-05-08 01:26:28, endOfLog=29
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:26:35, startOfLog=30
QuickSort: Xi=28, M=50, B=4096, IOs=4650, tiempo=2025-05-08 01:29:20, endOfLog=30
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:29:23, startOfLog=31
QuickSort: Xi=28, M=50, B=4096, IOs=4927, tiempo=2025-05-08 01:32:06, endOfLog=31
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-08 01:32:10, startOfLog=32
